Symbol,Company Name,Returns %,Current Value,Period
RATNAMANI,Ratnamani Metals & Tubes Ltd.,0.7236336231795351,100723.63362317954,5d
INDUSTOWER,Indus Towers Ltd.,0.6683345772490605,100668.33457724906,5d
BRITANNIA,Britannia Industries Ltd.,0.2784654288725198,100278.46542887251,5d
KPIL,Kalpataru Projects International Ltd.,-0.05315950465799266,99946.84049534201,5d
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-0.24585893710489648,99754.1410628951,5d
ERIS,Eris Lifesciences Ltd.,-1.1348104087239015,98865.18959127611,5d
BHARTIARTL,Bharti Airtel Ltd.,-1.2300744582407477,98769.92554175926,5d
JUBLINGREA,Jubilant Ingrevia Ltd.,-1.3835898524113082,98616.41014758869,5d
ABBOTINDIA,Abbott India Ltd.,-1.552191347782251,98447.80865221775,5d
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-2.240755940106055,97759.24405989396,5d
SAREGAMA,Saregama India Ltd,-2.2588973401704413,97741.10265982956,5d
CREDITACC,CreditAccess Grameen Ltd.,-2.3127625513904104,97687.2374486096,5d
MTARTECH,MTAR Technologies Ltd.,-2.8963191598543707,97103.68084014562,5d
CENTURYTEX,Century Textile & Industries Ltd.,-2.984841295359,97015.15870464101,5d
AMBER,Amber Enterprises India Ltd.,-3.363320883694648,96636.67911630536,5d
BDL,Bharat Dynamics Ltd.,-3.4078019228452763,96592.19807715472,5d
ZEEL,Zee Entertainment Enterprises Ltd.,-5.589096726174373,94410.90327382564,5d
LTF,L&T Finance Ltd.,-5.873116523010124,94126.88347698987,5d
MASTEK,Mastek Ltd.,-5.901520832405841,94098.47916759417,5d
RAYMOND,Raymond Ltd.,-9.748508044987055,90251.49195501296,5d
INDUSTOWER,Indus Towers Ltd.,3.662281841699995,103662.2818417,7d
BRITANNIA,Britannia Industries Ltd.,0.43497913934199905,100434.979139342,7d
ERIS,Eris Lifesciences Ltd.,-0.0492392529409965,99950.76074705902,7d
BHARTIARTL,Bharti Airtel Ltd.,-0.07500685891152403,99924.99314108846,7d
CREDITACC,CreditAccess Grameen Ltd.,-0.8334656446311515,99166.53435536886,7d
ABBOTINDIA,Abbott India Ltd.,-0.8409264405072905,99159.07355949271,7d
KPIL,Kalpataru Projects International Ltd.,-0.8438782085537151,99156.12179144628,7d
CENTURYTEX,Century Textile & Industries Ltd.,-1.1809759374295694,98819.02406257043,7d
SAREGAMA,Saregama India Ltd,-1.7242955805950404,98275.70441940497,7d
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-1.762325314908601,98237.6746850914,7d
RATNAMANI,Ratnamani Metals & Tubes Ltd.,-3.0241106365476185,96975.88936345238,7d
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-3.6865026352781034,96313.49736472189,7d
MTARTECH,MTAR Technologies Ltd.,-4.553023688024484,95446.97631197551,7d
