strategy,symbol,signal_date,signal_time,score,entry,stop,target_1r,target_2r,reason,volume_ratio,volume_ratio_tod,vwap_dist,day_change_at_signal,trade_result_1r,realized_r_1r,target_2r_before_stop,first_1r_at,first_2r_at,first_stop_at,return_1d,mfe_1d,mae_1d,result_1d,return_5d,mfe_5d,mae_5d,result_5d,return_15d,mfe_15d,mae_15d,result_15d,return_30d,mfe_30d,mae_30d,result_30d,return_3m,mfe_3m,mae_3m,result_3m
V1,AAPL,2026-07-09,2026-07-09T12:00:00-04:00,74.0,315.0249938964844,311.88871386120115,318.1612739317676,321.2975539670508,holding above VWAP; opening-range breakout; volume 3.8x; positive 1M trend; enough daily range,3.7912320666371517,3.5924475616222686,0.0075471020839110725,0.005217075119259951,WIN_1R,1.0,True,2026-07-13T09:30:00-04:00,2026-07-13T09:35:00-04:00,2026-07-31T09:30:00-04:00,0.0009364762588688347,0.005983683206559842,-0.009062710972349453,UP,0.057884346392948594,0.062391870994704,-0.009888073310775347,UP,0.058423931865370315,0.09378625188527967,-0.009888073310775347,UP,-0.011824477980117432,0.09378625188527967,-0.04769460895988942,DOWN,,,,PENDING
V2,AAPL,2026-07-09,2026-07-09T12:00:00-04:00,73.0,315.0249938964844,311.88871386120115,318.1612739317676,321.2975539670508,trend 3/3; confirmed OR breakout; time-normalized volume 3.6x; tradable daily range,3.7912320666371517,3.5924475616222686,0.0075471020839110725,0.005217075119259951,WIN_1R,1.0,True,2026-07-13T09:30:00-04:00,2026-07-13T09:35:00-04:00,2026-07-31T09:30:00-04:00,0.0009364762588688347,0.005983683206559842,-0.009062710972349453,UP,0.057884346392948594,0.062391870994704,-0.009888073310775347,UP,0.058423931865370315,0.09378625188527967,-0.009888073310775347,UP,-0.011824477980117432,0.09378625188527967,-0.04769460895988942,DOWN,,,,PENDING
V3,AAPL,2026-07-09,2026-07-09T12:00:00-04:00,89.0,315.0249938964844,311.88871386120115,318.1612739317676,321.2975539670508,trend 3/3; confirmed OR breakout; time-normalized volume 3.6x; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,3.7912320666371517,3.5924475616222686,0.0075471020839110725,0.005217075119259951,WIN_1R,1.0,True,2026-07-13T09:30:00-04:00,2026-07-13T09:35:00-04:00,2026-07-31T09:30:00-04:00,0.0009364762588688347,0.005983683206559842,-0.009062710972349453,UP,0.057884346392948594,0.062391870994704,-0.009888073310775347,UP,0.058423931865370315,0.09378625188527967,-0.009888073310775347,UP,-0.011824477980117432,0.09378625188527967,-0.04769460895988942,DOWN,,,,PENDING
V1,AAPL,2026-07-15,2026-07-15T10:30:00-04:00,74.0,324.4800109863281,321.2425267736518,327.7174951990045,330.9549794116808,holding above VWAP; opening-range breakout; volume 2.2x; positive 1M trend; enough daily range,2.2053672057709255,1.2095657772394541,0.006973320242619874,0.03055334460498127,WIN_1R,1.0,True,2026-07-15T12:20:00-04:00,2026-07-16T09:55:00-04:00,2026-07-23T09:30:00-04:00,0.027058673822797807,0.031434853747841274,0.007119075075139536,UP,0.004345425340141373,0.03239022094488808,-0.006965019998474542,UP,-0.04154342495660268,0.06191443434935384,-0.07544381828611191,DOWN,-0.03399284518565193,0.06191443434935384,-0.07544381828611191,DOWN,,,,PENDING
V2,AAPL,2026-07-15,2026-07-15T12:30:00-04:00,65.0,328.2200012207031,324.9452014294722,331.49480101193404,334.76960080316496,trend 3/3; confirmed OR breakout; time-normalized volume 1.8x; tradable daily range,2.25074418201753,1.8391952604348074,0.012849628281190073,0.04243160925712197,WIN_1R,1.0,True,2026-07-16T11:40:00-04:00,2026-07-17T09:35:00-04:00,2026-07-20T11:10:00-04:00,0.015355580178469497,0.019681894555640733,-0.004356811499795499,UP,-0.007098856144049814,0.02062637556667224,-0.018280421600405328,DOWN,-0.05246481371232459,0.04981416745691103,-0.08597891997973428,DOWN,-0.04500027103387938,0.04981416745691103,-0.08597891997973428,DOWN,,,,PENDING
V3,AAPL,2026-07-15,2026-07-15T12:30:00-04:00,77.0,328.2200012207031,324.9452014294722,331.49480101193404,334.76960080316496,trend 3/3; confirmed OR breakout; time-normalized volume 1.8x; tradable daily range; broad market bull trend; tight VWAP proximity,2.25074418201753,1.8391952604348074,0.012849628281190073,0.04243160925712197,WIN_1R,1.0,True,2026-07-16T11:40:00-04:00,2026-07-17T09:35:00-04:00,2026-07-20T11:10:00-04:00,0.015355580178469497,0.019681894555640733,-0.004356811499795499,UP,-0.007098856144049814,0.02062637556667224,-0.018280421600405328,DOWN,-0.05246481371232459,0.04981416745691103,-0.08597891997973428,DOWN,-0.04500027103387938,0.04981416745691103,-0.08597891997973428,DOWN,,,,PENDING
V2,AAPL,2026-07-16,2026-07-16T15:00:00-04:00,71.0,333.4949951171875,330.1149838811003,336.8750063532747,340.25501758936196,trend 3/3; confirmed OR breakout; time-normalized volume 1.8x; controlled 15m momentum; tradable daily range,1.5916466949754573,1.8290305520562522,0.008779346990430259,0.018305328602099324,STOP,-1.0,False,2026-07-27T09:30:00-04:00,2026-07-28T09:30:00-04:00,2026-07-17T10:00:00-04:00,0.0007346290672261002,0.004482811253770702,-0.013478448501477502,UP,-0.035487763319864474,0.004482811253770702,-0.04241439667993052,DOWN,-0.06322431150029406,0.0332089307761263,-0.10043627522931076,DOWN,-0.05671751846913109,0.0332089307761263,-0.10043627522931076,DOWN,,,,PENDING
V3,AAPL,2026-07-16,2026-07-16T15:00:00-04:00,75.0,333.4949951171875,330.1149838811003,336.8750063532747,340.25501758936196,trend 3/3; confirmed OR breakout; time-normalized volume 1.8x; controlled 15m momentum; tradable daily range; sideways market: neutral; tight VWAP proximity,1.5916466949754573,1.8290305520562522,0.008779346990430259,0.018305328602099324,STOP,-1.0,False,2026-07-27T09:30:00-04:00,2026-07-28T09:30:00-04:00,2026-07-17T10:00:00-04:00,0.0007346290672261002,0.004482811253770702,-0.013478448501477502,UP,-0.035487763319864474,0.004482811253770702,-0.04241439667993052,DOWN,-0.06322431150029406,0.0332089307761263,-0.10043627522931076,DOWN,-0.05671751846913109,0.0332089307761263,-0.10043627522931076,DOWN,,,,PENDING
V2,AAPL,2026-07-24,2026-07-24T15:00:00-04:00,73.0,333.0799865722656,330.3791339281281,335.78083921640314,338.48169186054065,trend 3/3; confirmed OR breakout; time-normalized volume 2.2x; tradable daily range,2.207975601948999,2.1664061383598114,0.006941082508581609,0.03550327295945843,WIN_1R,1.0,True,2026-07-27T09:30:00-04:00,2026-07-27T11:00:00-04:00,2026-07-30T10:05:00-04:00,0.01149879081375782,0.019484871543145266,0.002822152273632028,UP,-0.07256510113048265,0.034496280818902436,-0.09931544345456655,DOWN,-0.08151193404288748,0.034496280818902436,-0.09931544345456655,DOWN,-0.03935987114229733,0.034496280818902436,-0.09931544345456655,DOWN,,,,PENDING
V3,AAPL,2026-07-24,2026-07-24T15:00:00-04:00,81.0,333.0799865722656,330.3791339281281,335.78083921640314,338.48169186054065,trend 3/3; confirmed OR breakout; time-normalized volume 2.2x; tradable daily range; sideways market: neutral; tight VWAP proximity; strong time-normalized volume,2.207975601948999,2.1664061383598114,0.006941082508581609,0.03550327295945843,WIN_1R,1.0,True,2026-07-27T09:30:00-04:00,2026-07-27T11:00:00-04:00,2026-07-30T10:05:00-04:00,0.01149879081375782,0.019484871543145266,0.002822152273632028,UP,-0.07256510113048265,0.034496280818902436,-0.09931544345456655,DOWN,-0.08151193404288748,0.034496280818902436,-0.09931544345456655,DOWN,-0.03935987114229733,0.034496280818902436,-0.09931544345456655,DOWN,,,,PENDING
