trade_id,strategy,symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_pct,exit_reason,signal_score,market_regime
V1-MSFT-88790cefce30,V1,MSFT,2026-09-21T22:33:21.565232+00:00,2026-09-22T17:36:04.519017+00:00,502.0412,496.2074,1,-5.83,-0.01162,STOP,75.0,BULL_TREND
V1-WMT-52d323a7e481,V1,WMT,2026-09-21T22:33:21.565642+00:00,2026-09-22T17:36:04.519214+00:00,107.4352,109.8031,9,21.31,0.022041,TARGET_1R,71.0,BULL_TREND
V2-WMT-d93cf4dcd822,V2,WMT,2026-09-21T22:33:21.570149+00:00,2026-09-22T17:36:04.519284+00:00,107.4352,109.8031,9,21.31,0.022041,TARGET_1R,71.0,BULL_TREND
V2-AMZN-577c7e40b710,V2,AMZN,2026-09-21T22:33:21.570251+00:00,2026-09-22T17:36:04.519326+00:00,258.4308,253.7572,3,-14.02,-0.018084,STOP,63.0,BULL_TREND
V3-WMT-f97aba756f3d,V3,WMT,2026-09-21T22:33:21.573495+00:00,2026-09-22T17:36:04.519374+00:00,107.4352,109.8031,9,21.31,0.022041,TARGET_1R,87.0,BULL_TREND
V3-AMZN-d908e2058d96,V3,AMZN,2026-09-21T22:33:21.573597+00:00,2026-09-22T17:36:04.519409+00:00,258.4308,253.7572,3,-14.02,-0.018084,STOP,75.0,BULL_TREND
V1-PLTR-45cc277104ed,V1,PLTR,2026-09-21T22:33:21.565019+00:00,2026-09-23T17:47:47.326720+00:00,183.3973,191.1161,5,38.59,0.042088,TARGET_1R,84.0,BULL_TREND
V1-SPY-b30b5119dc42,V1,SPY,2026-09-21T22:33:21.565374+00:00,2026-09-23T17:47:47.327003+00:00,773.7112,767.932,1,-5.78,-0.007469,STOP,75.0,BULL_TREND
V1-NVDA-91067033cc8f,V1,NVDA,2026-09-21T22:33:21.565505+00:00,2026-09-23T17:47:47.327137+00:00,227.5584,225.0623,4,-9.98,-0.010969,STOP,74.0,BULL_TREND
V2-PLTR-609565c380bb,V2,PLTR,2026-09-21T22:33:21.569793+00:00,2026-09-23T17:47:47.327268+00:00,183.3973,191.1161,5,38.59,0.042088,TARGET_1R,79.0,BULL_TREND
V2-NVDA-3197bfa6a813,V2,NVDA,2026-09-21T22:33:21.569910+00:00,2026-09-23T17:47:47.327377+00:00,227.5584,225.0623,4,-9.98,-0.010969,STOP,73.0,BULL_TREND
V3-PLTR-8243149410d8,V3,PLTR,2026-09-21T22:33:21.573147+00:00,2026-09-23T17:47:47.327505+00:00,183.3973,191.1161,5,38.59,0.042088,TARGET_1R,95.0,BULL_TREND
V3-NVDA-6eb95c45c745,V3,NVDA,2026-09-21T22:33:21.573279+00:00,2026-09-23T17:47:47.327609+00:00,227.5584,225.0623,4,-9.98,-0.010969,STOP,89.0,BULL_TREND
V1-WMT-a6f46717c145,V1,WMT,2026-09-22T21:06:27.229551+00:00,2026-09-24T17:49:23.088438+00:00,110.1999,108.2891,9,-17.2,-0.017339,STOP,75.0,BULL_TREND
V1-CAT-3daad1127731,V1,CAT,2026-09-23T21:20:56.265058+00:00,2026-09-24T17:49:23.088674+00:00,812.5884,802.9225,1,-9.67,-0.011895,STOP,78.0,BULL_TREND
V2-WMT-15b008c8e65f,V2,WMT,2026-09-22T21:06:27.233082+00:00,2026-09-24T17:49:23.088796+00:00,110.1999,108.2891,9,-17.2,-0.017339,STOP,77.0,BULL_TREND
V2-CAT-375b2f9e5855,V2,CAT,2026-09-23T21:20:56.267938+00:00,2026-09-24T17:49:23.088896+00:00,812.5884,802.9225,1,-9.67,-0.011895,STOP,71.0,BULL_TREND
V3-WMT-bc4726787715,V3,WMT,2026-09-22T21:06:27.235618+00:00,2026-09-24T17:49:23.089023+00:00,110.1999,108.2891,9,-17.2,-0.017339,STOP,93.0,BULL_TREND
V3-CAT-ecb8a8067d2a,V3,CAT,2026-09-23T21:20:56.270956+00:00,2026-09-24T17:49:23.089123+00:00,812.5884,802.9225,1,-9.67,-0.011895,STOP,87.0,BULL_TREND
V3-COST-3b57cbc8722b,V3,COST,2026-09-23T21:20:56.271077+00:00,2026-09-24T17:49:23.089210+00:00,906.6042,897.3314,1,-9.27,-0.010228,STOP,72.0,BULL_TREND
