symbol,spot,return_1m,return_3m,return_6m,volume_ratio,sma50,sma200,above_50d,above_200d,golden_cross,golden_cross_recent,distance_from_52w_high,breakout,technical_score,sector,revenue_growth,earnings_growth,profit_margin,free_cashflow,debt_to_cash,institutional_ownership,analyst_recommendation,analyst_count,sector_5d,rs_percentile,trend_score,trend_reason,trend_state
MPC,388.8999938964844,0.3031406533642129,0.488358580254844,0.7690399834916115,0.7282693357315033,321.3609677124023,240.30743492126464,True,True,True,False,0.0030693107416195353,False,59.1,Energy,0.537,3.48,0.05549,9249375232.0,4.414521211122554,0.7957,buy,18.0,0.022016548288114945,92.02453987730061,81.0,RS proxy 92; near 52w high; sector inflow proxy; revenue >20%; earnings >20%; analyst consensus positive,STRONG TREND
VLO,370.7200012207031,0.22353877411572642,0.45474432270832255,0.6646076297666343,1.1893157781585852,314.4696929931641,238.00342903137206,True,True,True,False,8.092686368477153e-05,False,60.3,Energy,0.517,4.535,0.05446,8416374784.0,1.4413259304660553,0.87111,buy,19.0,0.022016548288114945,90.1840490797546,81.0,RS proxy 90; near 52w high; sector inflow proxy; revenue >20%; earnings >20%; analyst consensus positive,STRONG TREND
PSX,255.08999633789062,0.24778074450607712,0.4007204868711607,0.5564332553700537,0.8129011142259474,213.53539611816407,170.526029586792,True,True,True,False,-0.003904877247452365,False,58.4,Energy,0.531,3.449,0.046609998,4545375232.0,5.017077304441828,0.80601996,buy,19.0,0.022016548288114945,88.95705521472392,81.0,RS proxy 89; near 52w high; sector inflow proxy; revenue >20%; earnings >20%; analyst consensus positive,STRONG TREND
DELL,524.1400146484375,0.19762372205678647,0.33118514791290554,2.5952387581149208,1.3844041882454696,439.23205078125,252.82373107910155,True,True,True,False,0.0150080361357805,False,64.5,Technology,0.577,2.729,0.07525,173500000.0,2.9791684295386416,0.75681,buy,24.0,0.008562638359554953,100.0,74.0,RS proxy 100; near 52w high; revenue >20%; earnings >20%; analyst consensus positive,STRONG TREND
HUM,401.5400085449219,0.09339946417234235,0.14970116441025416,1.2580602700268546,0.7787235735168354,388.34760009765625,278.69049293518066,True,True,True,False,-0.019246750584661854,False,60.8,Healthcare,0.262,0.271,0.00878,1940999936.0,0.6176532259323758,1.01002,buy,23.0,0.0016942818411320726,96.31901840490798,74.0,RS proxy 96; near 52w high; revenue >20%; earnings >20%; analyst consensus positive,STRONG TREND
ROKU,155.58999633789062,0.03678275967393141,0.2726156847643564,0.5470816029633336,0.984996769412033,148.42729919433594,117.99402477264404,True,True,True,False,-0.02610164191490938,False,58.6,Communication Services,0.219,14.429,0.06819,836552128.0,0.18540499766244506,0.88648003,hold,20.0,-0.008496319166499289,87.73006134969326,70.0,RS proxy 88; near 52w high; revenue >20%; earnings >20%,STRONG TREND
MU,1016.5900268554688,0.15328946038236801,0.17677616899477555,1.7468903762916392,1.2689743493844137,938.2628747558593,606.3405877685547,True,True,True,False,-0.16217875231829515,False,63.6,Technology,3.457,13.685,0.55906,7639499776.0,0.24502343567692725,0.79963994,strong_buy,45.0,0.008562638359554953,98.77300613496932,68.0,RS proxy 99; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
MRVL,223.5500030517578,0.06179353177780267,-0.15130700560845378,1.4976787413487158,0.8671320643712468,220.65398101806642,151.71072834014893,True,True,True,False,-0.2933503443540322,False,61.6,Technology,0.365,0.5,0.27934998,2408049920.0,1.344105972335232,0.81987,strong_buy,41.0,0.008562638359554953,97.54601226993866,68.0,RS proxy 98; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
SNOW,337.17999267578125,0.06031444237667061,0.41517669961210046,0.8682402518714802,1.649841851954663,297.32159820556643,218.94699974060057,True,True,True,False,-0.05411397446872046,False,63.2,Technology,0.351,,-0.20071,1739526656.0,1.1787524027005234,0.80944,strong_buy,48.0,0.008562638359554953,93.25153374233128,68.0,RS proxy 93; revenue >20%; analyst consensus positive,TRENDING
HOOD,122.11000061035156,0.3461581065240449,0.48065961929072065,0.5839928189273125,1.164098688632438,102.4534001159668,95.09612503051758,True,True,True,False,-0.1990686394267035,False,60.0,Financial Services,0.323,0.476,0.42011002,,0.95900444494401,0.79547,buy,27.0,0.0,89.57055214723927,68.0,RS proxy 90; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
NUE,261.07000732421875,-0.040183796602137,0.028779393101666884,0.5561705843601321,0.5567909559129449,248.54005096435546,205.32037796020506,True,True,True,False,-0.04975607263614834,False,57.1,Basic Materials,0.23,0.938,0.07989,683374976.0,2.637072736998514,0.81083,buy,16.0,-0.01391503712335962,88.34355828220859,68.0,RS proxy 88; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
MS,217.72000122070312,0.018573105126096445,0.03297551358657813,0.37327610201849537,0.8045726029156766,215.01720153808594,189.279991607666,True,True,True,False,-0.0421418057279237,False,56.2,Financial Services,0.28,0.624,0.25897,,0.8219668443227852,0.63295,buy,21.0,0.0,82.82208588957054,68.0,RS proxy 83; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
STLD,242.05999755859375,-0.0742695908359503,-0.09642836271582911,0.3400132771062496,1.0005946818452127,241.94289001464844,209.65052444458007,True,True,True,False,-0.1419968643024393,False,56.1,Basic Materials,0.334,0.836,0.07825,234191248.0,7.739078498716749,0.86190003,buy,14.0,-0.01391503712335962,80.3680981595092,68.0,RS proxy 80; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
SNDK,1740.0,0.3825104965555275,0.11587105913762463,2.299641483719194,1.2530214795322192,1550.2505908203125,1003.9676482391358,True,True,True,False,-0.2548179871520343,False,63.8,Technology,3.716,,0.56465,7720875008.0,0.04220915695144311,0.80851,buy,23.0,0.008562638359554953,99.38650306748467,65.0,RS proxy 99; revenue >20%; analyst consensus positive,TRENDING
CRWD,213.10000610351562,0.02753270037452049,0.2703049083535807,0.9869928059355442,0.8239314583874409,200.81359924316405,142.48959987640382,True,True,True,False,-0.07748915106703191,False,60.1,Technology,0.258,,0.00834,1995385472.0,0.16358277415658856,0.76532,buy,50.0,0.008562638359554953,93.86503067484662,65.0,RS proxy 94; revenue >20%; analyst consensus positive,TRENDING
ABNB,181.94000244140625,0.1998153730791048,0.3624383075380866,0.3656084085860154,0.5911896185061413,162.96260009765626,139.40932498931886,True,True,True,False,-0.04493437038631887,False,55.1,Consumer Cyclical,0.165,0.334,0.2045,3206874880.0,0.20681083439326536,0.89519,buy,40.0,-0.019622860168317935,82.20858895705521,65.0,RS proxy 82; earnings >20%; analyst consensus positive,TRENDING
NVDA,230.36000061035156,0.051920155404272306,0.12315940397430802,0.29704729171979083,1.0589382352468044,210.56639953613282,196.5254197692871,True,True,True,False,-0.021682895837804694,False,55.3,Technology,1.059,1.278,0.63663,41809874944.0,0.6220685543800067,0.71545,strong_buy,57.0,0.008562638359554953,77.30061349693251,64.0,near 52w high; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
NBIS,226.38999938964844,0.19227930044223807,-0.006233256591735348,1.5343109229730945,0.6690551168542552,213.0779998779297,154.78832534790038,True,True,True,False,-0.21033172603945938,False,61.0,Communication Services,4.54,,0.03129,-9614650368.0,1.2677410213782483,0.69246,buy,16.0,-0.008496319166499289,98.15950920245399,60.0,RS proxy 98; revenue >20%; analyst consensus positive,TRENDING
AMD,477.57000732421875,-0.023933108821724502,0.02399331515985126,1.4817857168911304,1.100787056667968,499.2746008300781,340.99790031433105,False,True,True,False,-0.17789325471711492,False,50.3,Technology,0.501,1.595,0.15577,8841499648.0,0.32613835551271037,0.75521004,strong_buy,49.0,0.008562638359554953,96.93251533742331,60.0,RS proxy 97; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
ARM,252.08999633789062,-0.12065716904426582,-0.26489370506526133,1.2039692462954448,1.137702508757974,273.57879943847655,201.77247493743897,False,True,True,False,-0.4263641713931553,False,49.8,Technology,0.224,1.083,0.20247999,1334499968.0,0.12474279835390946,0.96222,buy,39.0,0.008562638359554953,95.0920245398773,60.0,RS proxy 95; revenue >20%; earnings >20%; analyst consensus positive,TRENDING
JPM,358.6400146484375,0.0065675748965459135,0.1532978548428061,0.250861330407824,0.8956598128367799,349.62681701660154,316.32317276000975,True,True,True,False,-0.017908916585006263,False,52.7,Financial Services,0.304,0.469,0.34921002,,0.8800381567268061,0.75772005,none,21.0,0.0,71.77914110429448,60.0,near 52w high; revenue >20%; earnings >20%,TRENDING
TGT,164.44000244140625,0.12661246836847062,0.35189824477926934,0.38478122511570856,0.5874683264040936,146.35735427856446,120.77986213684082,True,True,True,False,-0.032079563057401894,False,56.0,Consumer Defensive,0.053,1.005,0.04078,3432999936.0,3.5475884193563068,0.89127,hold,34.0,-0.010181335848548523,84.66257668711657,58.0,RS proxy 85; earnings >20%,TRENDING
MET,97.62000274658203,-0.02331159852727871,0.16256124111696013,0.37794058590896595,0.9249010622244372,94.0401887512207,81.03430171966552,True,True,True,False,-0.02331159852727871,False,56.9,Financial Services,0.105,0.058,0.04567,-20953999360.0,1.8417468869343119,0.78503,buy,16.0,0.0,83.43558282208589,58.0,RS proxy 83; near 52w high; analyst consensus positive,TRENDING
TSM,428.9100036621094,0.025609734917406257,0.03551422264981863,0.27217043806419694,1.3519372503241829,420.40720031738283,371.829659576416,True,True,True,False,-0.10189082839340546,False,55.6,Technology,0.36,0.774,0.49923,730826014720.0,0.3037394568940542,0.1548,strong_buy,19.0,0.008562638359554953,74.84662576687117,58.0,revenue >20%; earnings >20%; analyst consensus positive,TRENDING
PRU,122.0199966430664,0.015873728689375755,0.17978065177744917,0.2882093449476779,0.9048674834674733,117.97962646484375,105.49811893463135,True,True,True,False,-0.013596578926496128,False,54.2,Financial Services,0.141,0.892,0.06007,7527750144.0,1.4484105603448276,0.65138,hold,15.0,0.0,76.07361963190185,57.0,near 52w high; earnings >20%,TRENDING
HPQ,32.63999938964844,0.15826824117008598,0.29153256567338603,0.7252534861688946,0.8755180740971837,27.20799991607666,22.537114248275756,True,True,True,False,0.02031883786123423,False,59.5,Technology,0.125,-0.113,0.04143,3389874944.0,2.4799713309470293,0.96092004,hold,16.0,0.008562638359554953,91.41104294478528,56.0,RS proxy 91; near 52w high,TRENDING
BAC,62.68000030517578,-3.225563209197091e-06,0.17034732019424226,0.3019557958087973,0.9212620852584622,61.31337066650391,54.28837203979492,True,True,True,False,-0.027930860878727315,False,55.0,Financial Services,0.168,0.341,0.29524,,0.9088202158469112,0.71331,buy,22.0,0.0,77.91411042944786,56.0,near 52w high; earnings >20%; analyst consensus positive,TRENDING
AAPL,319.9700012207031,0.02508224785715618,0.0419924432325649,0.24501295505983545,1.003920187027784,314.9877679443359,283.4390231323242,True,True,True,False,-0.058321623101851294,False,52.9,Technology,0.164,0.287,0.27618998,107721875456.0,1.351688258424455,0.66435,buy,38.0,0.008562638359554953,71.16564417177914,55.0,earnings >20%; analyst consensus positive,TRENDING
